[1;4,3,2,2,1,2]
[0;1,1,10,11]
[0;1,3,1,2,1,1,4,1,1,2]
[0;1,15,3,3,2]
[1;4,14,1,9]
[0;2,2,8,10]
[0;1,5,2,2,1,2,3,2]
[1;1,3,2,1,12]
[0;1,2,1,3,2,3,1,1,2]
[1;1,3,1,2,1,2,1,1,3]
[0;3,1,1,1,1,3]
[0;2,2,17,5]
[1;3,1,1,19]
[0;12,9,2,1,2]
[1;3,1,1,5,3,3]
[6;2,1,1,5,1,2]
[2;2,1,8,6]
[0;1,6,1,3,4,5]
[1;1,17,6,2]
[1;1,10,2,4]
[3;1,1,8,1,1,2]
[0;1,1,2,45,3]
[0;1,4,2,4]
[0;2,1,3,2,6,6]
[0;1,1,3,1,4,1,3]
[2;1,3,1,1,9]
[1;5,3,2,3,3]
[2;2,1,3,1,3,1,2]
[0;11,1,2,1,1,1,6]
[2;1,1,1,1,5,4,3]
[0;1,14,1,11]
[39;1,2,3]
[0;4,7,3,3]
[5;114]
[0;1,4,1,1,4,2]
[1;235]
[2;5,28,2]
[0;2,15,4,1,2]
[1;3,1,4]
[1;108,2]
[2;1,33,2]
[0;3,5,2,1,2]
[0;14,1,10,3]
[11]
[0;3,1,11,17]
[1;2,1,1,1,1,6,2,2]
[1;1,1,1,4,1,1,6]
[1;17,2,1,5]
[0;1,11,7,5,2]
[2;1,9,2,3]
[2;3,2,3,2,1,3]
[0;2,1,1,5,3,1,1,4]
[1;32,1,1,4,3]
[12;1,3,1,4]
[0;1,2,1,2,4,2]
[0;11,39]
[0;3,1,1,33,1,3]
[0;1,5,11,2,1,4]
[1;6,6,3,7]
[1;4,1,138]
[2;3,1,3,1,17]
[0;3,6,4,1,1,3]
[1;1,3,1,1,4,2]
[0;1,1,2,1,14,3]
[1;2,2,4,1,3,3]
[1;14,5,1,4]
[1;2,1,2,1,6,1,5]
[3;1,1,2,1,3,2,1,2]
[0;1,3,2,21]
[1;23,5,2]
[1;1,5,3,1,1,1,2,2]
[1;3,2,9]
[7;1,3,2,1,8]
[1;1,1,3,1,1,2,3,1,2]
[1;9,1,6,4,2]
[3;6,4,1,3]
[3;4,1,18]
[0;3,6,2,2,5]
[0;1,1,1,3,1,1,4,8]
[3;1,3,1,3,2]
[10;1,1,1,30]
[3;1,1,3,36]
[1;14,1,3,3,1,2]
[0;2,5,5,4]
[14;2,6]
[0;15,2,1,2]
[1;1,2,1,1,1,1,15,2]
[2;7]
[1;31,2,11]
[0;6,11,1,3,2]
[0;1,1,4,9,3,1,2]
[0;6,1,6,1,1,1,2]
[8;2,2,6,1,2]
[24;6,2]
[0;1,2,21,2,2,2]
[0;4,1,3,1,1,19]
[1]
[0;1,1,11,1,2,1,4]
[0;1,1,5,3,5,2]
[13;1,9]
